id,alias,name,product_image,original_price,promo_price,minimum_purchase,description,seconds_before_expiration,available_start_time,available_end_time,available_days,violator_free_item,violator_save,violator_free_product_id,violator_percentage_discount,status,hash
1,Flash Deal 1,"1 Party Superpop (Classic)
1 Major House Fryes
2 Churkey Hotdog",Popcorn_Taters_323.jpg,560,399,NULL,"Get this bundle of Party Pack Superpop, Major House Fryes, and 2 Churkey Hotdog for only PHP399. Save PHP161!",1200,10:00:00,13:00:00,NULL,NULL,NULL,NULL,NULL,1,koee47fw8mlya90bhnpj
3,PerDisc 1,"1 Churkey Hotdog
1 Minor House Fryes
1 Minor Taters Chips
2 Lemon Iced Tea 12oz",Popcorn_Taters_339.jpg,320,249,NULL,"Enjoy this Hotdog, House Fryes, Tater Chips, and Iced Tea snack combo for only PHP249.",1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,r9lrnyl9hq7scclleomx
4,Free Delivery,Free Delivery for a minimum purchase of PHP899.,Popcorn_Taters_324.jpg,NULL,NULL,899,"
Free Delivery for a minimum purchase of PHP899.

Claim this voucher and apply to your snackshop cart.

Promo runs from August 1 to December 31, 2022.
Terms and Conditions apply.",1200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,yw6fbb6256z9zostofyg
5,Free Product,"Buy 2 frozen products, get 1 superpop free",Popcorn_Taters_325.jpg,NULL,NULL,NULL,Free Junior Superpop when you purchase 2 of any Frozen Taters Products.,1200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,xmvamamjify4grrxewjx
6,BOGO1,"Buy 1 Major Superpop, Get 1 Minor Superpop for FREE",Popcorn_Taters_322.jpg,175,115,NULL,"Buy one Major Superpop, get one Minor Superpop for FREE! Save PHP60!
Claim this voucher and apply to your snackshop cart.
Promo runs from August 1 to December 31, 2022.
Terms and Conditions apply.
** Voucher can only be used once every transaction per day",1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,2jrdbgkrgde8f7ahj6da
7,BOGO2,"Buy 1 Major House Fryes, Get 1 Sugarfree Lemonade 12oz for FREE",Popcorn_Taters_327.jpg,175,140,NULL,"Buy one Major House Fryes, get 12oz of Sugarfree Lemonade for FREE! Save PHP35!
Claim this voucher and apply to your snackshop cart.
Promo runs from August 1 to December 31, 2022.
Terms and Conditions apply.
** Voucher can only be used once every transaction per day",1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,4vh20rtn708oy27b3rgv
8,BOGO3,"Buy 1 Major Chik-a-chips, Get 1 Junior Tortilla Chips for FREE",Popcorn_Taters_328.jpg,260,220,NULL,"Buy one Major Chik-a-chips, get one Junior Tortilla Chips for FREE! Save PHP40!
Claim this voucher and apply to your snackshop cart.
Promo runs from August 1 to December 31, 2022.
Terms and Conditions apply.
** Voucher can only be used once every transaction per day",1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,6047qbj8nmqu50uahars
9,BOGO4,"Buy 1 Major Mexican Munchers, Get 1 Sugarfree Lemonade 12oz for FREE",Popcorn_Taters_329.jpg,220,185,NULL,"Buy one Major Mexican Munchers, get 12oz of Sugarfree Lemonade for FREE! Save PHP35!
Claim this voucher and apply to your snackshop cart.
Promo runs from August 1 to December 31, 2022.
Terms and Conditions apply.
** Voucher can only be used once every transaction per day",1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,13szdcy2xtbc4u5y7dr1
10,BOGO5,"Buy 1 Major Taters Chips, Get 1 Junior Superpop for FREE",Popcorn_Taters_330.jpg,175,140,NULL,"Buy one Major Taters Chips, get one Junior Superpop for FREE! Save PHP35!
Claim this voucher and apply to your snackshop cart.
Promo runs from August 1 to December 31, 2022.
Terms and Conditions apply.
** Voucher can only be used once every transaction per day",1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,k885fchbc4hfrv3kjl8n
11,BOGO6,"Buy 1 Churkey Hotdog Sandwich, Get 12 oz Lemon Iced Tea for FREE",Popcorn_Taters_333.jpg,135,100,NULL,"Buy one Churkey Hotdog Sandwich, get one 12oz Lemon Iced Tea for FREE! Save PHP35!
Claim this voucher and apply to your snackshop cart.
Promo runs from August 1 to December 31, 2022.
Terms and Conditions apply.
** Voucher can only be used once every transaction per day",1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,oeatk7yuqx53qh6h3ct2
